"","pid","survey.date","local.time","answer","variable"
"74","ftb5jbci",2019-02-19,2019-02-19 21:00:39,0,"lonely"
"75","ftb5jbci",2019-02-20,2019-02-20 21:12:33,1,"lonely"
"76","ftb5jbci",2019-02-21,2019-02-22 09:07:11,1,"lonely"
"77","ftb5jbci",2019-02-22,2019-02-22 21:01:11,0,"lonely"
"78","ftb5jbci",2019-02-23,2019-02-23 21:05:12,0,"lonely"
"79","ftb5jbci",2019-02-24,2019-02-24 21:00:35,0,"lonely"
"80","ftb5jbci",2019-02-25,2019-02-25 21:10:14,0,"lonely"
"81","ftb5jbci",2019-02-26,2019-02-26 22:18:45,0,"lonely"
"82","ftb5jbci",2019-02-28,2019-02-28 21:38:35,0,"lonely"
"83","ftb5jbci",2019-03-01,2019-03-01 22:49:27,0,"lonely"
"84","ftb5jbci",2019-03-02,2019-03-02 21:00:58,0,"lonely"
"85","ftb5jbci",2019-03-03,2019-03-03 21:08:34,0,"lonely"
"86","ftb5jbci",2019-03-04,2019-03-04 21:08:53,0,"lonely"
"87","ftb5jbci",2019-03-05,2019-03-05 21:49:22,0,"lonely"
"88","ftb5jbci",2019-03-06,2019-03-06 21:06:51,0,"lonely"
"89","ftb5jbci",2019-03-09,2019-03-09 21:29:56,0,"lonely"
"90","ftb5jbci",2019-03-11,2019-03-11 21:01:07,0,"lonely"
"91","ftb5jbci",2019-03-12,2019-03-12 21:00:59,0,"lonely"
"92","ftb5jbci",2019-03-13,2019-03-13 21:15:30,0,"lonely"
"93","ftb5jbci",2019-02-15,2019-02-15 21:01:15,3,"energy"
"94","ftb5jbci",2019-02-16,2019-02-16 21:15:52,2,"energy"
"95","ftb5jbci",2019-02-17,2019-02-17 21:00:33,3,"energy"
"96","ftb5jbci",2019-02-18,2019-02-18 21:00:58,1,"energy"
"97","ftb5jbci",2019-02-19,2019-02-19 21:00:39,3,"energy"
"98","ftb5jbci",2019-02-20,2019-02-20 21:12:33,2,"energy"
"99","ftb5jbci",2019-02-21,2019-02-22 09:07:11,2,"energy"
"100","ftb5jbci",2019-02-22,2019-02-22 21:01:11,3,"energy"
"101","ftb5jbci",2019-02-23,2019-02-23 21:05:12,3,"energy"
"102","ftb5jbci",2019-02-24,2019-02-24 21:00:35,3,"energy"
"103","ftb5jbci",2019-02-25,2019-02-25 21:10:14,1,"energy"
"104","ftb5jbci",2019-02-26,2019-02-26 22:18:45,3,"energy"
"105","ftb5jbci",2019-02-28,2019-02-28 21:38:35,1,"energy"
"106","ftb5jbci",2019-03-01,2019-03-01 22:49:27,3,"energy"
"107","ftb5jbci",2019-03-02,2019-03-02 21:00:58,3,"energy"
"108","ftb5jbci",2019-03-03,2019-03-03 21:08:34,3,"energy"
"109","ftb5jbci",2019-03-04,2019-03-04 21:08:53,3,"energy"
"110","ftb5jbci",2019-03-05,2019-03-05 21:49:22,2,"energy"
"111","ftb5jbci",2019-03-06,2019-03-06 21:06:51,3,"energy"
"112","ftb5jbci",2019-03-09,2019-03-09 21:29:56,2,"energy"
"113","ftb5jbci",2019-03-12,2019-03-12 21:00:59,2,"energy"
"114","ftb5jbci",2019-03-13,2019-03-13 21:15:30,1,"energy"
"115","ftb5jbci",2019-02-22,2019-02-22 09:07:47,3,"sleep"
"116","ftb5jbci",2019-02-25,2019-02-25 09:05:19,2,"sleep"
"117","ftb5jbci",2019-02-27,2019-02-27 09:00:58,7,"sleep"
"118","ftb5jbci",2019-03-01,2019-03-01 09:07:19,4,"sleep"
"119","ftb5jbci",2019-03-06,2019-03-06 09:01:13,3,"sleep"
"120","ftb5jbci",2019-03-07,2019-03-07 10:53:58,6,"sleep"
"121","ftb5jbci",2019-03-11,2019-03-11 09:00:50,5,"sleep"
"122","ftb5jbci",2019-03-13,2019-03-13 10:09:00,5,"sleep"
"123","ftb5jbci",2019-02-18,2019-02-18 09:48:28,0,"refreshed"
"124","ftb5jbci",2019-02-20,2019-02-20 09:36:23,1,"refreshed"
"125","ftb5jbci",2019-02-21,2019-02-21 10:40:17,1,"refreshed"
"126","ftb5jbci",2019-02-22,2019-02-22 09:07:47,0,"refreshed"
"127","ftb5jbci",2019-02-25,2019-02-25 09:05:19,0,"refreshed"
"128","ftb5jbci",2019-02-27,2019-02-27 09:00:58,2,"refreshed"
"129","ftb5jbci",2019-03-01,2019-03-01 09:07:19,0,"refreshed"
"130","ftb5jbci",2019-03-04,2019-03-04 09:01:49,1,"refreshed"
"131","ftb5jbci",2019-03-05,2019-03-05 10:58:27,3,"refreshed"
