"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","epan6heu",2018-10-10 09:43:45,2,2,1,1,1,"[Campus;Home (dorm; apartment)]","[Friends]","[Commuting; traveling;Exercising; physical activity; sports;Talking; texting; socializing]","[Talking in person]"
"2","epan6heu",2018-10-10 13:16:23,2,2,1,1,1,"Campus","No one; alone","Commuting; traveling","No one; alone"
"3","epan6heu",2018-10-22 08:31:45,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Interacting on Twitter]"
