"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","xok6wnbr",2018-10-10 09:36:12,0,1,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[Interacting on Snapchat]"
"2","xok6wnbr",2018-10-10 12:12:33,0,0,3,0,3,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"3","xok6wnbr",2018-10-10 15:03:43,0,1,2,0,2,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
